cell_lat,cell_lon,n_incidents,gi_z,gi_p,hotspot_class
33.74,-118.28,1909,0.17021185259652377,0.35,Not Significant
34.2,-118.58,748,0.16978018504332984,0.21,Not Significant
34.04,-118.39,721,0.16528659657975328,0.26,Not Significant
34.18,-118.43,580,0.1649384319302918,0.18,Not Significant
34.05,-118.47,1191,0.16155019546358215,0.28,Not Significant
34.17,-118.53,1083,0.16090623239242408,0.24,Not Significant
33.99,-118.24,586,0.1603613405629826,0.32,Not Significant
34.16,-118.44,1690,0.1602056571831421,0.33,Not Significant
33.79,-118.27,1083,0.15951215849112574,0.29,Not Significant
34.09,-118.26,705,0.1580685489689686,0.24,Not Significant
34.21,-118.54,1149,0.15373772040249786,0.27,Not Significant
34.06,-118.45,843,0.1518765963616779,0.25,Not Significant
34.2,-118.53,1650,0.1492299789043903,0.32,Not Significant
34.2,-118.42,1057,0.14292480202085212,0.25,Not Significant
34.07,-118.39,139,0.1419128600518891,0.23,Not Significant
33.79,-118.26,709,0.1412547439462001,0.28,Not Significant
34.03,-118.4,1778,0.14055841464727714,0.37,Not Significant
34.15,-118.36,821,0.13556522406475813,0.27,Not Significant
34.18,-118.41,807,0.13523404305673367,0.25,Not Significant
33.73,-118.3,976,0.13506279133890925,0.31,Not Significant
33.97,-118.34,14,0.13439335280559542,0.25,Not Significant
34.23,-118.55,962,0.13436221612962737,0.27,Not Significant
33.78,-118.27,2092,0.13429145095697273,0.41,Not Significant
34.2,-118.38,857,0.1335271870923012,0.27,Not Significant
33.96,-118.39,716,0.13202696543202055,0.29,Not Significant
33.78,-118.26,1847,0.1281773400396023,0.41,Not Significant
34.21,-118.53,637,0.12790135586624865,0.24,Not Significant
33.99,-118.43,471,0.1266488123102596,0.25,Not Significant
34.0,-118.34,2,0.12346437954079573,0.21,Not Significant
34.17,-118.4,1177,0.12189339270786033,0.31,Not Significant
33.75,-118.29,815,0.12066207870366762,0.29,Not Significant
34.01,-118.23,8,0.11992814277013412,0.27,Not Significant
34.0,-118.24,949,0.11939437118210959,0.36,Not Significant
34.2,-118.41,1003,0.11926092828510355,0.27,Not Significant
34.19,-118.55,1094,0.11856035307582148,0.28,Not Significant
34.22,-118.48,493,0.11764748234857537,0.26,Not Significant
34.03,-118.41,1451,0.11518485434018984,0.36,Not Significant
33.94,-118.39,39,0.11346950655503886,0.24,Not Significant
34.08,-118.21,893,0.11289206274617603,0.29,Not Significant
33.73,-118.28,1173,0.1127222263318045,0.34,Not Significant
34.2,-118.48,1219,0.10737237927910556,0.32,Not Significant
34.0,-118.44,982,0.10423040561323459,0.32,Not Significant
34.07,-118.21,1264,0.09796344192292995,0.36,Not Significant
33.95,-118.41,6,0.09752186724556429,0.26,Not Significant
34.22,-118.43,693,0.09709727620963586,0.28,Not Significant
34.05,-118.39,562,0.09380669568118978,0.3,Not Significant
34.07,-118.22,1221,0.09327595688627933,0.37,Not Significant
34.04,-118.42,444,0.091782811743264,0.29,Not Significant
34.23,-118.48,401,0.09166251094975106,0.27,Not Significant
33.95,-118.4,2544,0.08852053728388008,0.47,Not Significant
34.05,-118.42,755,0.08820209400693375,0.36,Not Significant
34.06,-118.46,171,0.08784119162639464,0.26,Not Significant
34.09,-118.37,222,0.087416600590466,0.27,Not Significant
34.11,-118.28,887,0.07995087487538982,0.35,Not Significant
34.21,-118.43,842,0.07968904373656721,0.29,Not Significant
34.22,-118.54,835,0.0789247798718959,0.29,Not Significant
34.19,-118.48,1141,0.07152840402602145,0.41,Not Significant
34.22,-118.59,921,0.07000836811739747,0.33,Not Significant
33.99,-118.44,1670,0.06967577180592012,0.42,Not Significant
34.22,-118.6,1384,0.06397917540721271,0.41,Not Significant
34.23,-118.54,1030,0.06245064767787,0.33,Not Significant
33.96,-118.4,1050,0.06049752891259906,0.36,Not Significant
34.18,-118.42,621,0.06041261070541339,0.31,Not Significant
34.02,-118.38,114,0.05959527296125088,0.33,Not Significant
34.15,-118.45,1588,0.05870009352716842,0.46,Not Significant
34.18,-118.55,401,0.057865064489842376,0.29,Not Significant
34.21,-118.4,722,0.05769522807547075,0.33,Not Significant
34.02,-118.44,526,0.05293980847307169,0.36,Not Significant
34.18,-118.62,175,0.052099118221933235,0.29,Not Significant
34.12,-118.32,527,0.047674879627558134,0.34,Not Significant
34.24,-118.44,487,0.04764657355849628,0.35,Not Significant
34.16,-118.4,988,0.04657094293414416,0.4,Not Significant
34.21,-118.48,748,0.04453290596168745,0.33,Not Significant
34.02,-118.42,1147,0.044532905961687255,0.42,Not Significant
34.17,-118.41,507,0.04274962361078775,0.34,Not Significant
33.98,-118.34,558,0.042145760804133625,0.34,Not Significant
34.2,-118.56,751,0.04188628850439955,0.38,Not Significant
34.21,-118.55,624,0.04173060512455924,0.36,Not Significant
34.25,-118.46,261,0.04088991487342069,0.28,Not Significant
34.19,-118.52,415,0.039437813530545526,0.32,Not Significant
34.2,-118.37,861,0.039098140701802564,0.36,Not Significant
34.17,-118.61,918,0.03900614597735128,0.4,Not Significant
